Date,Time,Room Temperature (degree Celsius),Relative Humidity (%)
23.01.18,23:06:00,16.4,56.4
23.01.18,23:18:00,16.2,56.4
23.01.18,23:30:00,16.1,56.3
23.01.18,23:42:00,15.9,56.3
23.01.18,23:54:00,15.8,56.4
24.01.18,00:06:00,15.7,56.5
24.01.18,00:18:00,15.5,56.7
24.01.18,00:30:00,15.4,56.8
24.01.18,00:42:00,15.3,56.8
24.01.18,00:54:00,15.2,57.3
24.01.18,01:06:00,15.2,57.5
24.01.18,01:18:00,15.1,57.6
24.01.18,01:30:00,15.1,57.6
24.01.18,01:42:00,15,57.9
24.01.18,01:54:00,14.9,58
24.01.18,02:06:00,14.9,58
24.01.18,02:18:00,14.9,57.9
24.01.18,02:30:00,14.8,58
24.01.18,02:42:00,14.7,58.5
24.01.18,02:54:00,14.7,58.5
24.01.18,03:06:00,14.7,58.7
24.01.18,03:18:00,14.6,58.8
24.01.18,03:30:00,14.6,58.8
24.01.18,03:42:00,14.6,58.9
24.01.18,03:54:00,14.5,58.9
24.01.18,04:06:00,14.5,58.7
24.01.18,04:18:00,14.5,58.6
24.01.18,04:30:00,14.4,58.7
24.01.18,04:42:00,14.3,58.6
24.01.18,04:54:00,14.3,58.5
24.01.18,05:06:00,14.2,58.3
24.01.18,05:18:00,14.1,58
24.01.18,05:30:00,14,57.6
24.01.18,05:42:00,14,57.2
24.01.18,05:54:00,14.1,56.3
24.01.18,06:06:00,14.2,55.5
24.01.18,06:18:00,14,56
24.01.18,06:30:00,14.3,55.3
24.01.18,06:42:00,14.2,54.9
24.01.18,06:54:00,14,55.5
24.01.18,07:06:00,14.3,54.9
24.01.18,07:18:00,15.6,53.8
24.01.18,07:30:00,16.7,54.2
24.01.18,07:42:00,17.6,54.7
24.01.18,07:54:00,18.4,55.3
24.01.18,08:06:00,18.9,54.3
24.01.18,08:18:00,19.1,54.5
24.01.18,08:30:00,19.7,55.5
24.01.18,08:42:00,20.2,55.6
24.01.18,08:54:00,20.6,55.1
24.01.18,09:06:00,20.9,55
24.01.18,09:18:00,21.3,55.2
24.01.18,09:30:00,21.5,55.7
24.01.18,09:42:00,21.8,56
24.01.18,09:54:00,22.1,56.2
24.01.18,10:06:00,22.3,56.1
24.01.18,10:18:00,22.6,55.5
24.01.18,10:30:00,22.9,55.3
24.01.18,10:42:00,23.2,53.7
24.01.18,10:54:00,23.6,53.3
24.01.18,11:06:00,24,52.9
24.01.18,11:18:00,23.9,42.7
24.01.18,11:30:00,24,38.9
24.01.18,11:42:00,24,35.6
24.01.18,11:54:00,24,32.6
24.01.18,12:06:00,23.9,31.1
24.01.18,12:18:00,23.9,35
24.01.18,12:30:00,24,38.9
24.01.18,12:42:00,23.9,38.5
24.01.18,12:54:00,24,38.9
24.01.18,13:06:00,24,40.7
24.01.18,13:18:00,24,42.4
24.01.18,13:30:00,23.9,40.6
24.01.18,13:42:00,24,42.7
24.01.18,13:54:00,24,40.8
24.01.18,14:06:00,24,39.5
24.01.18,14:18:00,24,50.9
24.01.18,14:30:00,24,52.6
24.01.18,14:42:00,24,47.8
24.01.18,14:54:00,24,47.3
24.01.18,15:06:00,24,44.9
24.01.18,15:18:00,24,43.3
24.01.18,15:30:00,24,39.1
24.01.18,15:42:00,24,36.8
24.01.18,15:54:00,24,35.9
24.01.18,16:06:00,24.1,35.4
24.01.18,16:18:00,24,34.8
24.01.18,16:30:00,24,34.3
24.01.18,16:42:00,24,33.2
24.01.18,16:54:00,24.1,33.4
24.01.18,17:06:00,24.1,33.4
24.01.18,17:18:00,24.1,31.4
24.01.18,17:30:00,24.2,30.1
24.01.18,17:42:00,24.2,29.2
24.01.18,17:54:00,24.1,29.2
24.01.18,18:06:00,24.1,30.2
24.01.18,18:18:00,24.2,31.9
24.01.18,18:30:00,24.4,32.9
24.01.18,18:42:00,24.9,35.1
24.01.18,18:54:00,24.9,34.8
24.01.18,19:06:00,24.3,34.5
24.01.18,19:18:00,23.5,39.5
24.01.18,19:30:00,23,44.7
24.01.18,19:42:00,22.5,47.5
24.01.18,19:54:00,21.9,49.6
24.01.18,20:06:00,21.5,51.1
24.01.18,20:18:00,21.1,51.9
24.01.18,20:30:00,20.6,52.8
24.01.18,20:42:00,20.2,53.4
24.01.18,20:54:00,19.9,53.9
24.01.18,21:06:00,19.5,54.5
24.01.18,21:18:00,19.1,55
24.01.18,21:30:00,18.8,55.5
24.01.18,21:42:00,18.5,55.9
24.01.18,21:54:00,18.2,56.4
24.01.18,22:06:00,17.9,56.7
24.01.18,22:18:00,17.7,57
24.01.18,22:30:00,17.5,57
24.01.18,22:42:00,17.3,57
24.01.18,22:54:00,17.1,57.3
24.01.18,23:06:00,16.9,57.4
24.01.18,23:18:00,16.7,57.5
