Gen,Frame,name,area pred,area gt,mean exg pred,mean exg gt,mean exr pred,mean exr gt,mean exgr pred,mean exgr gt
17,11,video0017_frame0011_R128x128.png,1069,1636,-0.101013184,9.320922852,17.31835938,12.16448975,-17.41937256,-2.843566895
17,12,video0017_frame0012_R128x128.png,908,1463,-1.479187012,6.17199707,19.9755249,13.73510742,-21.45471191,-7.563110352
18,1,video0018_frame0001_R128x128.png,678,678,2.091247559,2.091247559,14.98059082,14.98059082,-12.88934326,-12.88934326
18,2,video0018_frame0002_R128x128.png,351,351,-1.186096191,-1.186096191,15.16363525,15.16363525,-16.34973145,-16.34973145
18,3,video0018_frame0003_R128x128.png,858,858,-0.875854492,-0.875854492,16.19366455,16.19366455,-17.06951904,-17.06951904
18,4,video0018_frame0004_R128x128.png,531,531,-0.664245605,-0.664245605,14.51080322,14.51080322,-15.17504883,-15.17504883
18,5,video0018_frame0005_R128x128.png,641,641,1.89654541,1.89654541,15.4375,15.4375,-13.54095459,-13.54095459
18,6,video0018_frame0006_R128x128.png,458,458,-0.006958008,-0.006958008,14.60125732,14.60125732,-14.60821533,-14.60821533
18,7,video0018_frame0007_R128x128.png,697,434,-1.174865723,-2.895385742,18.37872314,14.59246826,-19.55358887,-17.487854
18,8,video0018_frame0008_R128x128.png,821,680,-0.995544434,0.958496094,16.17382813,16.45715332,-17.16937256,-15.49865723
18,9,video0018_frame0009_R128x128.png,613,525,-0.87322998,1.005432129,16.93048096,15.45025635,-17.80371094,-14.44482422
18,10,video0018_frame0010_R128x128.png,902,824,0.854980469,3.080932617,16.3994751,13.98712158,-15.54449463,-10.90618896
18,11,video0018_frame0011_R128x128.png,663,291,-2.590148926,-5.578674316,18.89605713,18.24945068,-21.48620605,-23.828125
