"name","max exg","mean exg","min exg","max exr","mean exr","min exr","max exgr","mean exgr","min exgr","Gen","area","Frame"
"video0025_frame0007_R128x128.png","75","7.182861328125","-49","112","15.160888671875","0","75","-7.97802734375","-125","25","3170","7"
"video0025_frame0008_R128x128.png","76","16.14453125","-30","114","12.542297363281","0","76","3.6022338867188","-132","25","5874","8"
"video0026_frame0001_R128x128.png","78","20.517150878906","-32","102","9.242431640625","0","78","11.274719238281","-126","26","7476","9"
"video0026_frame0002_R128x128.png","84","25.938293457031","-30","109","7.7380981445312","0","84","18.2001953125","-117","26","8731","10"
"video0026_frame0003_R128x128.png","80","25.013793945312","-30","100","8.1615600585938","0","80","16.852233886719","-104","26","8693","11"
"video0026_frame0004_R128x128.png","73","24.761535644531","-31","107","8.7369384765625","0","73","16.024597167969","-114","26","8487","12"
"video0026_frame0005_R128x128.png","72","16.962890625","-40","108","10.658569335938","0","72","6.3043212890625","-120","26","6527","13"
"video0026_frame0006_R128x128.png","75","12.934143066406","-80","109","10.527709960938","0","75","2.4064331054688","-115","26","5450","14"
"video0026_frame0007_R128x128.png","113","35.58642578125","-49","133","7.6421508789062","0","113","27.944274902344","-140","26","10762","15"
"video0026_frame0008_R128x128.png","103","47.368041992188","-34","110","4.465576171875","0","103","42.902465820312","-131","26","12932","16"
"video0027_frame0001_R128x128.png","24","-4.7673950195312","-113","109","15.278503417969","0","18","-20.0458984375","-147","27","0","1"
"video0027_frame0002_R128x128.png","25","-12.962097167969","-98","113","16.761535644531","0","12","-29.7236328125","-129","27","0","2"
"video0027_frame0003_R128x128.png","44","-2.7828979492188","-62","108","21.353393554688","0","44","-24.136291503906","-123","27","34","3"
"video0027_frame0004_R128x128.png","63","-9.2743530273438","-59","109","17.881896972656","0","63","-27.15625","-141","27","282","4"
"video0027_frame0005_R128x128.png","68","0.77886962890625","-102","115","19.836853027344","0","68","-19.057983398438","-140","27","707","5"
"video0027_frame0006_R128x128.png","65","1.4745483398438","-86","108","16.165954589844","0","65","-14.69140625","-122","27","2003","6"
"video0027_frame0007_R128x128.png","75","10.120788574219","-73","109","13.912414550781","0","75","-3.7916259765625","-125","27","3953","7"
"video0027_frame0008_R128x128.png","71","18.948608398438","-64","110","10.155578613281","0","71","8.7930297851562","-115","27","6747","8"
"video0028_frame0001_R128x128.png","67","14.928039550781","-37","112","10.113037109375","0","67","4.8150024414062","-125","28","6147","9"
"video0028_frame0002_R128x128.png","72","16.739379882812","-33","110","9.9513549804688","0","72","6.7880249023438","-124","28","6177","10"
"video0028_frame0003_R128x128.png","76","25.282165527344","-38","100","7.4800415039062","0","76","17.802124023438","-108","28","8788","11"
"video0028_frame0004_R128x128.png","82","23.385864257812","-31","105","7.5872802734375","0","82","15.798583984375","-130","28","8439","12"
"video0028_frame0005_R128x128.png","77","21.922241210938","-32","109","7.4788208007812","0","77","14.443420410156","-136","28","8170","13"
"video0028_frame0006_R128x128.png","78","28.183410644531","-26","106","6.8392944335938","0","78","21.344116210938","-112","28","9273","14"
"video0028_frame0007_R128x128.png","94","41.193542480469","-32","98","4.7171020507812","0","94","36.476440429688","-106","28","12772","15"
"video0028_frame0008_R128x128.png","83","40.841796875","-34","104","3.3118286132812","0","83","37.529968261719","-105","28","13882","16"
