"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0013_frame0007_R128x128.png","5184","71","16.884338378906","-26","110","14.213195800781","0","71","2.671142578125","-116","13","7","","4904","72","14.425598144531","-61","112","13.710388183594","0","72","0.7152099609375","-125"
"video0013_frame0008_R128x128.png","9003","73","25.89013671875","-20","110","9.1408081054688","0","73","16.749328613281","-127","13","8","","8890","75","25.351989746094","-104","107","9.3665161132812","0","75","15.985473632812","-127"
"video0014_frame0001_R128x128.png","10771","79","32.465515136719","-27","88","4.5253295898438","0","79","27.940185546875","-110","14","9","","10771","79","32.465515136719","-27","88","4.5253295898438","0","79","27.940185546875","-110"
"video0014_frame0002_R128x128.png","12690","92","46.678466796875","-18","95","4.430908203125","0","92","42.24755859375","-103","14","10","","12690","92","46.678466796875","-18","95","4.430908203125","0","92","42.24755859375","-103"
"video0014_frame0003_R128x128.png","13639","123","58.946533203125","-108","112","3.7576293945312","0","123","55.188903808594","-151","14","11","","13639","123","58.946533203125","-108","112","3.7576293945312","0","123","55.188903808594","-151"
"video0014_frame0004_R128x128.png","13685","135","73.109741210938","-34","121","3.3397827148438","0","135","69.769958496094","-132","14","12","","13685","135","73.109741210938","-34","121","3.3397827148438","0","135","69.769958496094","-132"
"video0014_frame0005_R128x128.png","13134","118","59.387817382812","-18","94","2.3292846679688","0","118","57.058532714844","-108","14","13","","14084","107","59.593017578125","-101","87","1.1714477539062","0","107","58.421569824219","-113"
"video0014_frame0006_R128x128.png","13556","97","50.004699707031","-32","109","5.1577758789062","0","97","44.846923828125","-109","14","14","","13980","105","50.495971679688","-42","113","4.1719360351562","0","105","46.324035644531","-128"
"video0014_frame0007_R128x128.png","13422","95","47.213134765625","-27","112","4.3543701171875","0","95","42.858764648438","-107","14","15","","13794","130","51.34228515625","-89","115","3.7107543945312","0","130","47.631530761719","-119"
"video0014_frame0008_R128x128.png","12650","109","49.018981933594","-20","109","6.4689331054688","0","109","42.550048828125","-111","14","16","","11843","106","53.714172363281","-41","120","3.0484008789062","0","106","50.665771484375","-137"
"video0015_frame0001_R128x128.png","1","25","-1.4408569335938","-52","106","13.754211425781","0","25","-15.195068359375","-109","15","1","","1","25","-1.4408569335938","-52","106","13.754211425781","0","25","-15.195068359375","-109"
